Notes,Year,Make,Model,Trim,Engine
1999,Nissan,Sentra,GXE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Nissan,Sentra,XE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,200SX,Base Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,200SX,SE Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,Sentra,Base Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,Sentra,GLE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,Sentra,GXE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1998,Nissan,Sentra,XE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,200SX,Base Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,200SX,SE Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,Sentra,Base Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,Sentra,GLE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,Sentra,GXE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Nissan,Sentra,XE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,200SX,Base Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,200SX,SE Coupe 2-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,Sentra,Base Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,Sentra,GLE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,Sentra,GXE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Nissan,Sentra,XE Sedan 4-Door,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
